date,ftse
16/01/2018,7755.931441
17/01/2018,7725.432076
18/01/2018,7700.963484
19/01/2018,7730.787919
22/01/2018,7715.441534
23/01/2018,7731.827774
24/01/2018,7643.428966
25/01/2018,7615.839954
26/01/2018,7665.541292
29/01/2018,7671.5333
